period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2024-08,NUS,U.S.,EPG0,Natural Gas,SNT,Non-Salt Underground Storage - Total,N5520US2,U.S. Natural Gas Non-Salt Underground Storage - Total  (MMcf),7368491,MMCF
2024-08,NUS,U.S.,EPG0,Natural Gas,SNO,Non-Salt Underground Storage - Working Gas,N5510US2,U.S. Natural Gas Non-Salt Underground Storage - Working Gas  (MMcf),3098520,MMCF
2024-08,NUS,U.S.,EPG0,Natural Gas,SNB,Non-Salt Underground Storage  - Base Gas,N5500US2,U.S. Natural Gas Non-Salt Underground Storage  - Base Gas  (MMcf),4269972,MMCF
2024-08,NUS,U.S.,EPG0,Natural Gas,SAW,Underground Storage Withdrawals,N5060US2,U.S. Natural  Gas Underground Storage Withdrawals (MMcf),243831,MMCF
2024-08,NUS,U.S.,EPG0,Natural Gas,SSO,Salt Underground Storage - Working Gas,N5410US2,U.S. Natural Gas Salt Underground Storage - Working Gas  (MMcf),271700,MMCF
2024-07,NUS,U.S.,EPG0,Natural Gas,SAW,Underground Storage Withdrawals,N5060US2,U.S. Natural  Gas Underground Storage Withdrawals (MMcf),176633,MMCF
2024-07,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4472500,MMCF
2024-07,NUS,U.S.,EPG0,Natural Gas,SSW,Salt Underground Storage Activity-Withdraw,N5450US2,U.S. Natural Gas Salt Underground Storage Activity-Withdraw  (MMcf),71279,MMCF
2024-07,NUS,U.S.,EPG0,Natural Gas,SSN,Salt Underground Storage Activity-Net,N5460US2,U.S. Natural Gas Salt Underground Storage Activity-Net  (MMcf),19263,MMCF
2024-07,NUS,U.S.,EPG0,Natural Gas,SNO,Non-Salt Underground Storage - Working Gas,N5510US2,U.S. Natural Gas Non-Salt Underground Storage - Working Gas  (MMcf),2983265,MMCF
2024-07,NUS,U.S.,EPG0,Natural Gas,SSO,Salt Underground Storage - Working Gas,N5410US2,U.S. Natural Gas Salt Underground Storage - Working Gas  (MMcf),310314,MMCF
2024-07,NUS,U.S.,EPG0,Natural Gas,SSI,Salt Underground Storage Activity-Injects,N5440US2,U.S. Natural Gas Salt Underground Storage Activity-Injects  (MMcf),52016,MMCF
2024-07,NUS,U.S.,EPG0,Natural Gas,SNW,Non-Salt Underground Storage Activity-Withdraw,N5550US2,U.S. Natural Gas Non-Salt Underground Storage Activity-Withdraw  (MMcf),105355,MMCF
2024-07,NUS,U.S.,EPG0,Natural Gas,SNT,Non-Salt Underground Storage - Total,N5520US2,U.S. Natural Gas Non-Salt Underground Storage - Total  (MMcf),7248562,MMCF
2024-07,NUS,U.S.,EPG0,Natural Gas,SAI,Underground Storage Injections,N5050US2,U.S. Total Natural Gas Injections into Underground Storage (MMcf),296151,MMCF
2024-07,NUS,U.S.,EPG0,Natural Gas,SSB,Salt - Underground Storage - Base Gas,N5400US2,U.S. Natural Gas Salt - Underground Storage - Base Gas  (MMcf),207202,MMCF
2024-07,NUS,U.S.,EPG0,Natural Gas,SAN,Underground Storage Net Withdrawals,N5070US2,U.S. Natural Gas Underground Storage Net Withdrawals (MMcf),-119518,MMCF
2024-07,NUS,U.S.,EPG0,Natural Gas,SNB,Non-Salt Underground Storage  - Base Gas,N5500US2,U.S. Natural Gas Non-Salt Underground Storage  - Base Gas  (MMcf),4265298,MMCF
2024-07,NUS,U.S.,EPG0,Natural Gas,SAO,Underground Storage Working Gas,N5020US2,U.S. Total Natural Gas in Underground Storage (Working Gas) (MMcf),3293578,MMCF
2024-07,NUS,U.S.,EPG0,Natural Gas,SST,Salt Underground Storage - Total,N5420US2,U.S. Natural Gas Salt Underground Storage - Total  (MMcf),517516,MMCF
2024-07,NUS,U.S.,EPG0,Natural Gas,SNN,Non-Salt Underground Storage Activity-Net,N5560US2,U.S. Natural Gas Non-Salt Underground Storage Activity-Net  (MMcf),-138781,MMCF
