period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2021,SAK,USA-AK,EPG0,Natural Gas,VN8,Number of Industrial Consumers - Sales,NA1568_SAK_8,Alaska Natural Gas Number of Industrial Consumers - Sales (Count),7,COUNT
2021,SHI,USA-HI,EPG0,Natural Gas,VP7,Average Annual Consumption per Industrial Consumer,NA1561_SHI_10,Hawaii Natural Gas Average Annual Consumption per Industrial Consumer (Mcf),20861,MCF
2021,STX,TEXAS,EPG0,Natural Gas,VN9,Number of Industrial Consumers - Transported,NA1569_STX_8,Texas Natural Gas Number of Industrial Consumers - Transported (Count),1905,COUNT
2021,SSC,USA-SC,EPG0,Natural Gas,VN8,Number of Industrial Consumers - Sales,NA1568_SSC_8,South Carolina Natural Gas Number of Industrial Consumers - Sales (Count),1188,COUNT
2021,SID,USA-ID,EPG0,Natural Gas,VN9,Number of Industrial Consumers - Transported,NA1569_SID_8,Idaho Natural Gas Number of Industrial Consumers - Transported (Count),230,COUNT
2021,SOR,USA-OR,EPG0,Natural Gas,VN9,Number of Industrial Consumers - Transported,NA1569_SOR_8,Oregon Natural Gas Number of Industrial Consumers - Transported (Count),269,COUNT
2021,SKS,USA-KS,EPG0,Natural Gas,VN9,Number of Industrial Consumers - Transported,NA1569_SKS_8,Kansas Natural Gas Number of Industrial Consumers - Transported (Count),4002,COUNT
2021,SNH,USA-NH,EPG0,Natural Gas,VN9,Number of Industrial Consumers - Transported,NA1569_SNH_8,New Hampshire Natural Gas Number of Industrial Consumers - Transported (Count),141,COUNT
2021,SMI,USA-MI,EPG0,Natural Gas,VN9,Number of Industrial Consumers - Transported,NA1569_SMI_8,Michigan Natural Gas Number of Industrial Consumers - Transported (Count),1352,COUNT
2021,SIN,USA-IN,EPG0,Natural Gas,VN9,Number of Industrial Consumers - Transported,NA1569_SIN_8,Indiana Natural Gas Number of Industrial Consumers - Transported (Count),2220,COUNT
2021,SIN,USA-IN,EPG0,Natural Gas,VN8,Number of Industrial Consumers - Sales,NA1568_SIN_8,Indiana Natural Gas Number of Industrial Consumers - Sales (Count),2464,COUNT
2021,SWA,WASHINGTON,EPG0,Natural Gas,VN9,Number of Industrial Consumers - Transported,NA1569_SWA_8,Washington Natural Gas Number of Industrial Consumers - Transported (Count),358,COUNT
2021,SNC,USA-NC,EPG0,Natural Gas,VN9,Number of Industrial Consumers - Transported,NA1569_SNC_8,North Carolina Natural Gas Number of Industrial Consumers - Transported (Count),875,COUNT
2021,SWA,WASHINGTON,EPG0,Natural Gas,VN8,Number of Industrial Consumers - Sales,NA1568_SWA_8,Washington Natural Gas Number of Industrial Consumers - Sales (Count),2948,COUNT
2021,SNY,NEW YORK,EPG0,Natural Gas,VN8,Number of Industrial Consumers - Sales,NA1568_SNY_8,New York Natural Gas Number of Industrial Consumers - Sales (Count),3920,COUNT
2021,SKY,USA-KY,EPG0,Natural Gas,VN8,Number of Industrial Consumers - Sales,NA1568_SKY_8,Kentucky Natural Gas Number of Industrial Consumers - Sales (Count),1502,COUNT
2021,SMN,MINNESOTA,EPG0,Natural Gas,VN7,Number of Industrial Consumers,NA1561_SMN_8,Minnesota Natural Gas Number of Industrial Consumers (Count),2037,COUNT
2021,SIN,USA-IN,EPG0,Natural Gas,VP7,Average Annual Consumption per Industrial Consumer,NA1561_SIN_10,Indiana Natural Gas Average Annual Consumption per Industrial Consumer (Mcf),83219,MCF
2021,SAZ,USA-AZ,EPG0,Natural Gas,VN8,Number of Industrial Consumers - Sales,NA1568_SAZ_8,Arizona Natural Gas Number of Industrial Consumers - Sales (Count),224,COUNT
2021,SOR,USA-OR,EPG0,Natural Gas,VP7,Average Annual Consumption per Industrial Consumer,NA1561_SOR_10,Oregon Natural Gas Average Annual Consumption per Industrial Consumer (Mcf),48546,MCF
