"Year","Report<BR>State","Plant Name","Owner Company","Operator Company","County Name","Zipcode","Plant Capacity","Plant Flow","BTU Content","Dry Gas Storage Capacity","NG Liquid Storage Capacity"
"2017","LA","VIVIAN GAS PROCESSING","CARUTHERS PRODUCING CO, INC","CARUTHERS PRODUCING CO, INC","CADDO","","1","1","","","714"
"2017","LA","Venice Gas Plant","Targa Resources, LLC","Targa Resources, LLC","Plaquemines","70091","750","450","1180","",""
"2017","MI","Aztec Manistee","Aztec Producing Company","Aztec Producing Company","Manistee","49660","5","","1340","","1429"
"2017","MI","Beaver Creek","Breitburn Operating, L.P.","Breitburn Operating, L.P.","Crawford","49738","2","2","","","714"
"2017","MI","Fraser 8","Breitburn Operating, L.P.","Breitburn Operating, L.P.","Bay","48650","2","2","","",""
"2017","MI","Goose Lake Gas Plant","Dart Oil & Gas Corporation","Dart Oil & Gas Corp","Osceola","49655","2","","1134","","607"
"2017","MI","Kalkaska Gas Processing","MERIT ENERGY COMPANY","","Kalkaska","49680","75","32","1099","0","42000"
"2017","MI","Marion Gas Plant","Dart Oil & Gas Corporation","Dart Oil & Gas Corp","Osecola","49665","3","1","1194","","607"
"2017","MI","Mentor NGL plant","Merit Energy Company (100%)","Merit Energy Company","Oscoda","48654","10","1","1130","","715"
"2017","MI","Monitor 11","Breitburn Operating, L.P.","Breitburn Operating, L.P.","Bay","48706","0","0","","","1332"
"2017","MI","Sherman 35","Breitburn Operating, L.P.","Breitburn Operating, L.P.","Osceola","49655","2","2","","","714"
"2017","MS","Pascagoula Gas Processing Plant","Enterprise Gas Processing LLC","Enterprise Gas Processing LLC","Jackson","39567","750","400","1200","0","1340"
"2017","MT","Aloe Ventures","LAMARSA CORP","LAMARSA CORP","Toole","59474-0766","600","600","1000","0","0"
"2017","MT","Baker Natural Gas Processing Plant","ONEOK","ONEOK","Fallon","59313","6","2","1500","","3200"
"2017","MT","Bakken Gas Plant","Hiland Partners Holdings  LLC","Kinder Morgan","Richland","59270","25","22","1421","","7386"
"2017","MT","Cut Bank NGL Plant","Omimiex, LTD","Northwestern Energy","Glacier","59427","20","4","1139","","9000"
"2017","MT","DRY CREEK PLANT","SAGA PETROLEUM, LLC","SAGA PETROLEUM, LLC","CARBON","59014","4","1","1190","","1400"
"2017","ND","Aux Sable Midstream, LLC","Enbridge","","Mountrail","58769","80","56","1492","","6429"
"2017","ND","Badlands Gas Plant","Hiland Partners Holdings LLC","Kinder Morgan","Bowman","58651-9789","52","19","283","","6667"
"2017","ND","Bear Creek Natural Gas Processing Plant","ONEOK","ONEOK","Dunn","58640","80","65","1400","",""
"2017","ND","Belfield Gas Plant","Andeavor Field Services LLC","Andeavor Field Services LLC","Stark","58622","40","20","1556","","16600"
